Player,Wickets,Balls,Economy
YS Chahal,233,4167,7.92
B Kumar,226,4769,7.61
SP Narine,209,4730,6.82
PP Chawla,192,3895,7.98
JJ Bumrah,190,3792,7.25
R Ashwin,187,4868,7.05
DJ Bravo,183,3296,8.08
RA Jadeja,180,4329,7.66
Rashid Khan,179,3585,7.35
A Mishra,174,3444,7.3
SL Malinga,170,2974,7.03
HV Patel,151,2654,8.59
Sandeep Sharma,151,3295,7.94
K Rabada,151,2395,8.64
Harbhajan Singh,150,3496,7.04
TA Boult,145,2892,8.29
Mohammed Shami,145,3035,8.5
UT Yadav,144,3190,8.35
AR Patel,139,3639,7.42
MM Sharma,134,2471,8.59
Mohammed Siraj,128,2834,8.48
AD Russell,123,1885,9.26
SN Thakur,120,2355,9.05
JD Unadkat,114,2418,8.79
Kuldeep Yadav,112,2336,8.19
Arshdeep Singh,111,2167,8.77
CV Varun,111,2187,7.67
KH Pandya,107,2779,7.45
A Nehra,106,1974,7.71
R Vinay Kumar,105,2186,8.35
Z Khan,102,2276,7.54
DW Steyn,97,2282,6.79
DL Chahar,96,2171,7.99
I Sharma,96,2546,8.17
CH Morris,96,1801,7.92
Avesh Khan,94,1840,9.05
SR Watson,92,2137,7.7
M Prasidh Krishna,91,1837,8.67
KK Ahmed,91,1741,8.69
RP Singh,90,1874,7.74
P Kumar,90,2637,7.6
PP Ojha,89,1945,7.4
PJ Cummins,87,1883,8.75
DS Kulkarni,86,1876,8.04
JA Morkel,85,1807,8.0
JC Archer,84,1658,8.04
Ravi Bishnoi,83,1857,8.15
KV Sharma,83,1611,8.43
Imran Tahir,82,1340,7.74
HH Pandya,82,1865,9.01
IK Pathan,80,2113,7.7
M Morkel,77,1699,7.54
L Balaji,76,1574,7.94
MA Starc,76,1264,8.61
RD Chahar,75,1728,7.71
MM Patel,74,1382,7.52
T Natarajan,74,1631,8.87
JR Hazlewood,72,1214,8.53
MJ McClenaghan,71,1346,8.2
R Bhatia,71,1661,7.44
JO Holder,70,1285,8.32
KA Pollard,69,1586,8.32
AB Dinda,69,1589,7.94
Mustafizur Rahman,65,1419,7.95
JH Kallis,65,1799,7.83
SK Trivedi,65,1557,7.49
M Muralitharan,64,1581,6.7
Shakib Al Hasan,63,1515,7.38
MG Johnson,62,1301,8.02
JP Faulkner,61,1287,8.62
A Nortje,61,1169,8.93
Noor Ahmad,61,1141,8.05
SM Curran,59,1308,9.44
S Kaul,58,1238,8.59
SK Warne,57,1223,7.19
TU Deshpande,55,1194,9.54
LH Ferguson,55,1148,8.88
S Gopal,52,1000,8.15
NM Coulter-Nile,48,892,7.57
S Nadeem,48,1444,7.48
SB Jakati,47,1101,8.03
TG Southee,47,1262,8.43
M Pathirana,47,797,7.95
VG Arora,47,931,9.18
PWH de Silva,46,808,8.42
MP Stoinis,46,975,9.69
S Aravind,45,788,8.05
M Jansen,45,1081,9.28
RJ Harris,45,865,7.53
A Kumble,45,983,6.65
VR Aaron,44,1065,8.6
Mukesh Kumar,43,879,10.07
YK Pathan,42,1184,7.31
L Ngidi,42,645,8.21
AJ Tye,42,714,8.45
MC Henriques,42,979,7.98
