match_id,team1,team2,venue,winner,dates
1082591,Sunrisers Hyderabad,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,2017-04-05
1082592,Rising Pune Supergiant,Mumbai Indians,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,2017-04-06
1082593,Gujarat Lions,Kolkata Knight Riders,Saurashtra Cricket Association Stadium,Kolkata Knight Riders,2017-04-07
1082594,Kings XI Punjab,Rising Pune Supergiant,Holkar Cricket Stadium,Kings XI Punjab,2017-04-08
1082595,Royal Challengers Bangalore,Delhi Daredevils,M.Chinnaswamy Stadium,Royal Challengers Bangalore,2017-04-08
1082596,Sunrisers Hyderabad,Gujarat Lions,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,2017-04-09
1082597,Mumbai Indians,Kolkata Knight Riders,Wankhede Stadium,Mumbai Indians,2017-04-09
1082598,Kings XI Punjab,Royal Challengers Bangalore,Holkar Cricket Stadium,Kings XI Punjab,2017-04-10
1082599,Rising Pune Supergiant,Delhi Daredevils,Maharashtra Cricket Association Stadium,Delhi Daredevils,2017-04-11
1082600,Mumbai Indians,Sunrisers Hyderabad,Wankhede Stadium,Mumbai Indians,2017-04-12
1082601,Kolkata Knight Riders,Kings XI Punjab,Eden Gardens,Kolkata Knight Riders,2017-04-13
1082602,Royal Challengers Bangalore,Mumbai Indians,M Chinnaswamy Stadium,Mumbai Indians,2017-04-14
1082603,Gujarat Lions,Rising Pune Supergiant,Saurashtra Cricket Association Stadium,Gujarat Lions,2017-04-14
1082604,Kolkata Knight Riders,Sunrisers Hyderabad,Eden Gardens,Kolkata Knight Riders,2017-04-15
1082605,Delhi Daredevils,Kings XI Punjab,Feroz Shah Kotla,Delhi Daredevils,2017-04-15
1082606,Mumbai Indians,Gujarat Lions,Wankhede Stadium,Mumbai Indians,2017-04-16
1082607,Royal Challengers Bangalore,Rising Pune Supergiant,M Chinnaswamy Stadium,Rising Pune Supergiant,2017-04-16
1082608,Delhi Daredevils,Kolkata Knight Riders,Feroz Shah Kotla,Kolkata Knight Riders,2017-04-17
1082609,Sunrisers Hyderabad,Kings XI Punjab,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,2017-04-17
1082610,Gujarat Lions,Royal Challengers Bangalore,Saurashtra Cricket Association Stadium,Royal Challengers Bangalore,2017-04-18
1082611,Sunrisers Hyderabad,Delhi Daredevils,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,2017-04-19
1082612,Kings XI Punjab,Mumbai Indians,Holkar Cricket Stadium,Mumbai Indians,2017-04-20
1082613,Kolkata Knight Riders,Gujarat Lions,Eden Gardens,Gujarat Lions,2017-04-21
1082614,Mumbai Indians,Delhi Daredevils,Wankhede Stadium,Mumbai Indians,2017-04-22
1082615,Rising Pune Supergiant,Sunrisers Hyderabad,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,2017-04-22
1082616,Gujarat Lions,Kings XI Punjab,Saurashtra Cricket Association Stadium,Kings XI Punjab,2017-04-23
1082617,Kolkata Knight Riders,Royal Challengers Bangalore,Eden Gardens,Kolkata Knight Riders,2017-04-23
1082618,Mumbai Indians,Rising Pune Supergiant,Wankhede Stadium,Rising Pune Supergiant,2017-04-24
1082620,Rising Pune Supergiant,Kolkata Knight Riders,Maharashtra Cricket Association Stadium,Kolkata Knight Riders,2017-04-26
1082621,Royal Challengers Bangalore,Gujarat Lions,M Chinnaswamy Stadium,Gujarat Lions,2017-04-27
1082622,Kolkata Knight Riders,Delhi Daredevils,Eden Gardens,Kolkata Knight Riders,2017-04-28
1082623,Kings XI Punjab,Sunrisers Hyderabad,"Punjab Cricket Association IS Bindra Stadium, Mohali",Sunrisers Hyderabad,2017-04-28
1082624,Rising Pune Supergiant,Royal Challengers Bangalore,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,2017-04-29
1082625,Gujarat Lions,Mumbai Indians,Saurashtra Cricket Association Stadium,,2017-04-29
1082626,Kings XI Punjab,Delhi Daredevils,"Punjab Cricket Association IS Bindra Stadium, Mohali",Kings XI Punjab,2017-04-30
1082627,Sunrisers Hyderabad,Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,2017-04-30
1082628,Mumbai Indians,Royal Challengers Bangalore,Wankhede Stadium,Mumbai Indians,2017-05-01
1082629,Rising Pune Supergiant,Gujarat Lions,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,2017-05-01
1082630,Delhi Daredevils,Sunrisers Hyderabad,Feroz Shah Kotla,Delhi Daredevils,2017-05-02
1082631,Kolkata Knight Riders,Rising Pune Supergiant,Eden Gardens,Rising Pune Supergiant,2017-05-03
1082632,Delhi Daredevils,Gujarat Lions,Feroz Shah Kotla,Delhi Daredevils,2017-05-04
1082633,Royal Challengers Bangalore,Kings XI Punjab,M Chinnaswamy Stadium,Kings XI Punjab,2017-05-05
1082634,Sunrisers Hyderabad,Rising Pune Supergiant,"Rajiv Gandhi International Stadium, Uppal",Rising Pune Supergiant,2017-05-06
1082635,Delhi Daredevils,Mumbai Indians,Feroz Shah Kotla,Mumbai Indians,2017-05-06
1082636,Royal Challengers Bangalore,Kolkata Knight Riders,M Chinnaswamy Stadium,Kolkata Knight Riders,2017-05-07
1082637,Kings XI Punjab,Gujarat Lions,"Punjab Cricket Association IS Bindra Stadium, Mohali",Gujarat Lions,2017-05-07
1082638,Sunrisers Hyderabad,Mumbai Indians,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,2017-05-08
1082639,Kings XI Punjab,Kolkata Knight Riders,"Punjab Cricket Association IS Bindra Stadium, Mohali",Kings XI Punjab,2017-05-09
1082640,Gujarat Lions,Delhi Daredevils,Green Park,Delhi Daredevils,2017-05-10
1082641,Mumbai Indians,Kings XI Punjab,Wankhede Stadium,Kings XI Punjab,2017-05-11
1082642,Delhi Daredevils,Rising Pune Supergiant,Feroz Shah Kotla,Delhi Daredevils,2017-05-12
1082643,Gujarat Lions,Sunrisers Hyderabad,Green Park,Sunrisers Hyderabad,2017-05-13
1082644,Kolkata Knight Riders,Mumbai Indians,Eden Gardens,Mumbai Indians,2017-05-13
1082645,Rising Pune Supergiant,Kings XI Punjab,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,2017-05-14
1082646,Delhi Daredevils,Royal Challengers Bangalore,Feroz Shah Kotla,Royal Challengers Bangalore,2017-05-14
1082647,Mumbai Indians,Rising Pune Supergiant,Wankhede Stadium,Rising Pune Supergiant,2017-05-16
1082648,Sunrisers Hyderabad,Kolkata Knight Riders,M Chinnaswamy Stadium,Kolkata Knight Riders,2017-05-17
1082649,Mumbai Indians,Kolkata Knight Riders,M Chinnaswamy Stadium,Mumbai Indians,2017-05-19
1082650,Mumbai Indians,Rising Pune Supergiant,"Rajiv Gandhi International Stadium, Uppal",Mumbai Indians,2017-05-21
1136561,Mumbai Indians,Chennai Super Kings,Wankhede Stadium,Chennai Super Kings,2018-04-07
1136562,Delhi Daredevils,Kings XI Punjab,Punjab Cricket Association IS Bindra Stadium,Kings XI Punjab,2018-04-08
1136563,Royal Challengers Bangalore,Kolkata Knight Riders,Eden Gardens,Kolkata Knight Riders,2018-04-08
1136564,Rajasthan Royals,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,2018-04-09
1136565,Kolkata Knight Riders,Chennai Super Kings,MA Chidambaram Stadium,Chennai Super Kings,2018-04-10
1136566,Rajasthan Royals,Delhi Daredevils,Sawai Mansingh Stadium,Rajasthan Royals,2018-04-11
1136567,Mumbai Indians,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,2018-04-12
1136568,Kings XI Punjab,Royal Challengers Bangalore,M.Chinnaswamy Stadium,Royal Challengers Bangalore,2018-04-13
1136569,Mumbai Indians,Delhi Daredevils,Wankhede Stadium,Delhi Daredevils,2018-04-14
1136570,Kolkata Knight Riders,Sunrisers Hyderabad,Eden Gardens,Sunrisers Hyderabad,2018-04-14
1136571,Rajasthan Royals,Royal Challengers Bangalore,M.Chinnaswamy Stadium,Rajasthan Royals,2018-04-15
1136572,Kings XI Punjab,Chennai Super Kings,Punjab Cricket Association IS Bindra Stadium,Kings XI Punjab,2018-04-15
1136573,Kolkata Knight Riders,Delhi Daredevils,Eden Gardens,Kolkata Knight Riders,2018-04-16
1136574,Mumbai Indians,Royal Challengers Bangalore,Wankhede Stadium,Mumbai Indians,2018-04-17
1136575,Rajasthan Royals,Kolkata Knight Riders,Sawai Mansingh Stadium,Kolkata Knight Riders,2018-04-18
1136576,Kings XI Punjab,Sunrisers Hyderabad,Punjab Cricket Association IS Bindra Stadium,Kings XI Punjab,2018-04-19
1136577,Chennai Super Kings,Rajasthan Royals,Maharashtra Cricket Association Stadium,Chennai Super Kings,2018-04-20
1136578,Kolkata Knight Riders,Kings XI Punjab,Eden Gardens,Kings XI Punjab,2018-04-21
1136579,Delhi Daredevils,Royal Challengers Bangalore,M.Chinnaswamy Stadium,Royal Challengers Bangalore,2018-04-21
1136580,Chennai Super Kings,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,Chennai Super Kings,2018-04-22
1136581,Mumbai Indians,Rajasthan Royals,Sawai Mansingh Stadium,Rajasthan Royals,2018-04-22
1136582,Kings XI Punjab,Delhi Daredevils,Arun Jaitley Stadium,Kings XI Punjab,2018-04-23
1136583,Sunrisers Hyderabad,Mumbai Indians,Wankhede Stadium,Sunrisers Hyderabad,2018-04-24
1136584,Royal Challengers Bangalore,Chennai Super Kings,M.Chinnaswamy Stadium,Chennai Super Kings,2018-04-25
1136585,Sunrisers Hyderabad,Kings XI Punjab,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,2018-04-26
1136586,Delhi Daredevils,Kolkata Knight Riders,Arun Jaitley Stadium,Delhi Daredevils,2018-04-27
1136587,Chennai Super Kings,Mumbai Indians,Maharashtra Cricket Association Stadium,Mumbai Indians,2018-04-28
1136588,Sunrisers Hyderabad,Rajasthan Royals,Sawai Mansingh Stadium,Sunrisers Hyderabad,2018-04-29
1136589,Royal Challengers Bangalore,Kolkata Knight Riders,M.Chinnaswamy Stadium,Kolkata Knight Riders,2018-04-29
1136590,Chennai Super Kings,Delhi Daredevils,Maharashtra Cricket Association Stadium,Chennai Super Kings,2018-04-30
1136591,Royal Challengers Bangalore,Mumbai Indians,M.Chinnaswamy Stadium,Royal Challengers Bangalore,2018-05-01
1136592,Delhi Daredevils,Rajasthan Royals,Arun Jaitley Stadium,Delhi Daredevils,2018-05-02
1136593,Chennai Super Kings,Kolkata Knight Riders,Eden Gardens,Kolkata Knight Riders,2018-05-03
1136594,Kings XI Punjab,Mumbai Indians,Holkar Cricket Stadium,Mumbai Indians,2018-05-04
1136595,Royal Challengers Bangalore,Chennai Super Kings,Maharashtra Cricket Association Stadium,Chennai Super Kings,2018-05-05
1136596,Delhi Daredevils,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,2018-05-05
1136597,Mumbai Indians,Kolkata Knight Riders,Wankhede Stadium,Mumbai Indians,2018-05-06
1136598,Rajasthan Royals,Kings XI Punjab,Holkar Cricket Stadium,Kings XI Punjab,2018-05-06
1136599,Sunrisers Hyderabad,Royal Challengers Bangalore,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,2018-05-07
1136600,Rajasthan Royals,Kings XI Punjab,Sawai Mansingh Stadium,Rajasthan Royals,2018-05-08
1136601,Mumbai Indians,Kolkata Knight Riders,Eden Gardens,Mumbai Indians,2018-05-09
1136602,Delhi Daredevils,Sunrisers Hyderabad,Arun Jaitley Stadium,Sunrisers Hyderabad,2018-05-10
1136603,Chennai Super Kings,Rajasthan Royals,Sawai Mansingh Stadium,Rajasthan Royals,2018-05-11
1136604,Kolkata Knight Riders,Kings XI Punjab,Holkar Cricket Stadium,Kolkata Knight Riders,2018-05-12
1136605,Delhi Daredevils,Royal Challengers Bangalore,Arun Jaitley Stadium,Royal Challengers Bangalore,2018-05-12
1136606,Sunrisers Hyderabad,Chennai Super Kings,Maharashtra Cricket Association Stadium,Chennai Super Kings,2018-05-13
1136607,Mumbai Indians,Rajasthan Royals,Wankhede Stadium,Rajasthan Royals,2018-05-13
1136608,Kings XI Punjab,Royal Challengers Bangalore,Holkar Cricket Stadium,Royal Challengers Bangalore,2018-05-14
1136609,Rajasthan Royals,Kolkata Knight Riders,Eden Gardens,Kolkata Knight Riders,2018-05-15
1136610,Mumbai Indians,Kings XI Punjab,Wankhede Stadium,Mumbai Indians,2018-05-16
1136611,Royal Challengers Bangalore,Sunrisers Hyderabad,M.Chinnaswamy Stadium,Royal Challengers Bangalore,2018-05-17
1136612,Delhi Daredevils,Chennai Super Kings,Arun Jaitley Stadium,Delhi Daredevils,2018-05-18
1136613,Rajasthan Royals,Royal Challengers Bangalore,Sawai Mansingh Stadium,Rajasthan Royals,2018-05-19
1136614,Sunrisers Hyderabad,Kolkata Knight Riders,Rajiv Gandhi International Stadium,Kolkata Knight Riders,2018-05-19
1136615,Delhi Daredevils,Mumbai Indians,Arun Jaitley Stadium,Delhi Daredevils,2018-05-20
1136616,Kings XI Punjab,Chennai Super Kings,Maharashtra Cricket Association Stadium,Chennai Super Kings,2018-05-20
1136617,Sunrisers Hyderabad,Chennai Super Kings,Wankhede Stadium,Chennai Super Kings,2018-05-22
1136618,Kolkata Knight Riders,Rajasthan Royals,Eden Gardens,Kolkata Knight Riders,2018-05-23
1136619,Sunrisers Hyderabad,Kolkata Knight Riders,Eden Gardens,Sunrisers Hyderabad,2018-05-25
1136620,Sunrisers Hyderabad,Chennai Super Kings,Wankhede Stadium,Chennai Super Kings,2018-05-27
1175356,Royal Challengers Bangalore,Chennai Super Kings,MA Chidambaram Stadium,Chennai Super Kings,2019-03-23
1175357,Sunrisers Hyderabad,Kolkata Knight Riders,Eden Gardens,Kolkata Knight Riders,2019-03-24
1175358,Delhi Capitals,Mumbai Indians,Wankhede Stadium,Delhi Capitals,2019-03-24
1175359,Kings XI Punjab,Rajasthan Royals,Sawai Mansingh Stadium,Kings XI Punjab,2019-03-25
1175360,Delhi Capitals,Chennai Super Kings,Arun Jaitley Stadium,Chennai Super Kings,2019-03-26
1175361,Kolkata Knight Riders,Kings XI Punjab,Eden Gardens,Kolkata Knight Riders,2019-03-27
1175362,Mumbai Indians,Royal Challengers Bangalore,M.Chinnaswamy Stadium,Mumbai Indians,2019-03-28
1175363,Rajasthan Royals,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,2019-03-29
1175364,Mumbai Indians,Kings XI Punjab,Punjab Cricket Association IS Bindra Stadium,Kings XI Punjab,2019-03-30
1175365,Kolkata Knight Riders,Delhi Capitals,Arun Jaitley Stadium,,2019-03-30
1175366,Sunrisers Hyderabad,Royal Challengers Bangalore,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,2019-03-31
1175367,Chennai Super Kings,Rajasthan Royals,MA Chidambaram Stadium,Chennai Super Kings,2019-03-31
1175368,Kings XI Punjab,Delhi Capitals,Punjab Cricket Association IS Bindra Stadium,Kings XI Punjab,2019-04-01
1175369,Royal Challengers Bangalore,Rajasthan Royals,Sawai Mansingh Stadium,Rajasthan Royals,2019-04-02
1175370,Mumbai Indians,Chennai Super Kings,Wankhede Stadium,Mumbai Indians,2019-04-03
1175371,Delhi Capitals,Sunrisers Hyderabad,Arun Jaitley Stadium,Sunrisers Hyderabad,2019-04-04
1175372,Royal Challengers Bangalore,Kolkata Knight Riders,M.Chinnaswamy Stadium,Kolkata Knight Riders,2019-04-05
1178393,Chennai Super Kings,Kings XI Punjab,MA Chidambaram Stadium,Chennai Super Kings,2019-04-06
1178394,Mumbai Indians,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,Mumbai Indians,2019-04-06
1178395,Royal Challengers Bangalore,Delhi Capitals,M.Chinnaswamy Stadium,Delhi Capitals,2019-04-07
1178396,Rajasthan Royals,Kolkata Knight Riders,Sawai Mansingh Stadium,Kolkata Knight Riders,2019-04-07
