batter,runs,balls,strike_rate
A Ashish Reddy,280,196,142.85714285714286
A Badoni,1178,885,133.10734463276836
A Chandila,4,7,57.14285714285714
A Chopra,53,75,70.66666666666667
A Choudhary,25,20,125.0
A Dananjaya,4,5,80.0
A Flintoff,62,57,108.77192982456141
A Kamboj,74,55,134.54545454545453
A Kumble,35,49,71.42857142857143
A Manohar,292,243,120.16460905349795
A Mhatre,441,250,176.4
A Mishra,381,440,86.5909090909091
A Mithun,34,26,130.76923076923077
A Mukund,19,23,82.6086956521739
A Nehra,41,63,65.07936507936508
A Nortje,49,52,94.23076923076923
A Raghuvanshi,885,628,140.9235668789809
A Singh,2,10,20.0
A Symonds,974,781,124.71190781049937
A Tomar,4,8,50.0
A Uniyal,4,7,57.14285714285714
A Zampa,15,25,60.0
AA Bilakhia,69,88,78.4090909090909
AA Chavan,12,11,109.09090909090908
AA Jhunjhunwala,217,218,99.54128440366972
AA Kulkarni,26,33,78.78787878787878
AA Noffke,9,12,75.0
AB Agarkar,179,160,111.87499999999999
AB Barath,42,43,97.67441860465115
AB Dinda,26,50,52.0
AB McDonald,123,103,119.41747572815532
AB de Villiers,5181,3487,148.58044164037855
AC Blizzard,120,91,131.86813186813185
AC Gilchrist,2069,1555,133.05466237942122
AC Thomas,20,19,105.26315789473684
AC Voges,181,143,126.57342657342659
AD Hales,148,119,124.36974789915966
AD Mascarenhas,79,79,100.0
AD Mathews,724,599,120.86811352253757
AD Nath,90,99,90.9090909090909
AD Russell,2655,1626,163.28413284132841
AF Milne,25,33,75.75757575757575
AG Murtaza,10,14,71.42857142857143
AG Paunikar,49,61,80.32786885245902
AJ Finch,2092,1696,123.34905660377358
AJ Hosein,21,14,150.0
AJ Turner,24,31,77.41935483870968
AJ Tye,91,79,115.18987341772151
AK Markram,1671,1264,132.1993670886076
AL Menaria,401,367,109.26430517711172
AM Ghazanfar,2,3,66.66666666666666
AM Nayar,672,588,114.28571428571428
AM Rahane,5367,4391,122.22728307902528
AN Ahmed,36,27,133.33333333333331
AN Ghosh,7,8,87.5
AP Dole,34,23,147.82608695652172
AP Majumdar,87,77,112.98701298701299
AP Tare,339,285,118.94736842105263
AR Bawne,12,12,100.0
AR Patel,2089,1635,127.76758409785933
AS Joseph,27,32,84.375
AS Rajpoot,26,41,63.41463414634146
AS Raut,194,172,112.79069767441861
AS Roy,78,66,118.18181818181819
AS Yadav,49,40,122.50000000000001
AT Carey,32,29,110.34482758620689
AT Rayudu,4348,3490,124.58452722063038
AU Rashid,22,17,129.41176470588235
AUK Pathan,39,26,150.0
Abdul Basith,1,1,100.0
Abdul Samad,859,598,143.6454849498328
Abdur Razzak,0,2,0.0
Abhishek Sharma,2379,1471,161.72671651937458
Abishek Porel,769,548,140.32846715328466
Akash Deep,25,14,178.57142857142858
Akash Madhwal,8,14,57.14285714285714
Akshat Raghuwanshi,29,27,107.40740740740742
Aman Hakim Khan,115,109,105.50458715596329
Aniket Verma,315,205,153.65853658536585
Anirudh Singh,63,69,91.30434782608695
Ankit Sharma,87,69,126.08695652173914
Ankit Soni,7,9,77.77777777777779
Anmolpreet Singh,139,117,118.80341880341881
Anuj Rawat,318,276,115.21739130434783
Anureet Singh,36,47,76.59574468085107
Arjun Tendulkar,18,14,128.57142857142858
Arshad Khan,142,102,139.2156862745098
Arshad Khan (2),5,4,125.0
Arshdeep Singh,32,49,65.3061224489796
